epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2835.73,1.52684,1.09592,1.62294,0.82414,0.6509,0.70576,0.30421,2.01425,1.36024,2.12977,0.000840286,0.000840286,0.000840286
43,2902.16,1.4902,1.07745,1.60309,0.80652,0.64931,0.73346,0.31467,2.0058,1.31355,2.10761,0.000812,0.000812,0.000812
44,2968.12,1.51061,1.06278,1.61788,0.8981,0.56944,0.70161,0.31997,1.96537,1.37806,2.09712,0.000783714,0.000783714,0.000783714
45,3032.69,1.51355,1.07461,1.62181,0.7877,0.65625,0.7179,0.31954,2.02626,1.34433,2.16723,0.000755429,0.000755429,0.000755429
46,3098.64,1.48463,1.04502,1.59659,0.79629,0.69222,0.73502,0.32505,1.99203,1.28359,2.10801,0.000727143,0.000727143,0.000727143
47,3162.6,1.48305,1.05471,1.60543,0.81986,0.64931,0.72794,0.32322,2.00506,1.23994,2.13741,0.000698857,0.000698857,0.000698857
48,3228.23,1.47402,1.03617,1.5898,0.8265,0.65278,0.69285,0.30023,2.0595,1.21001,2.19867,0.000670571,0.000670571,0.000670571
49,3294.19,1.47206,1.0311,1.5804,0.83734,0.69097,0.75035,0.34679,1.99723,1.17808,2.11216,0.000642286,0.000642286,0.000642286
50,3357.28,1.46299,0.99271,1.57928,0.75483,0.6735,0.69332,0.32809,1.99568,1.26922,2.14236,0.000614,0.000614,0.000614
51,3424.19,1.4508,1.00507,1.57584,0.82698,0.66667,0.73494,0.32855,2.00728,1.20419,2.12258,0.000585714,0.000585714,0.000585714
52,3489.65,1.44819,0.996,1.56607,0.81125,0.65665,0.72681,0.33581,2.04259,1.31498,2.19258,0.000557429,0.000557429,0.000557429
53,3554.24,1.43188,0.99595,1.55158,0.81072,0.69901,0.72642,0.34317,2.03625,1.27435,2.20756,0.000529143,0.000529143,0.000529143
54,3620.84,1.43093,0.95975,1.54933,0.82693,0.68403,0.74035,0.35334,1.96614,1.25128,2.09783,0.000500857,0.000500857,0.000500857
55,3685.75,1.42826,0.97915,1.57095,0.79805,0.68605,0.7207,0.3322,1.95381,1.20715,2.1197,0.000472571,0.000472571,0.000472571
56,3751.52,1.39641,0.9877,1.5432,0.80205,0.69444,0.73187,0.34766,1.97571,1.31876,2.13892,0.000444286,0.000444286,0.000444286
57,3818.37,1.41768,0.96338,1.55882,0.84741,0.65972,0.71126,0.33298,2.01132,1.26382,2.19871,0.000416,0.000416,0.000416
58,3881.89,1.41064,0.95618,1.53679,0.85529,0.69097,0.75617,0.34634,1.98481,1.2145,2.12018,0.000387714,0.000387714,0.000387714
59,3948.64,1.44053,0.94926,1.55129,0.84582,0.70478,0.74214,0.33335,2.01147,1.30971,2.1808,0.000359429,0.000359429,0.000359429
60,4013.51,1.40704,0.95053,1.5487,0.84527,0.69097,0.73309,0.33957,2.0196,1.28957,2.21293,0.000331143,0.000331143,0.000331143
61,4078.18,1.44384,0.7768,1.63865,0.81281,0.65625,0.70654,0.33154,1.96966,1.20033,2.1465,0.000302857,0.000302857,0.000302857
62,4143.13,1.42035,0.74363,1.62037,0.87968,0.66003,0.74384,0.35841,1.97539,1.22509,2.14102,0.000274571,0.000274571,0.000274571
63,4205.61,1.38713,0.73045,1.60503,0.83326,0.67361,0.72599,0.3388,1.9867,1.24009,2.15578,0.000246286,0.000246286,0.000246286
64,4269.55,1.37969,0.69498,1.59604,0.84128,0.66254,0.72812,0.34028,1.9855,1.23349,2.16637,0.000218,0.000218,0.000218
65,4332.68,1.38221,0.69406,1.59768,0.84456,0.66032,0.7127,0.34581,1.9617,1.24709,2.12868,0.000189714,0.000189714,0.000189714
66,4395.26,1.34596,0.68911,1.58135,0.87076,0.67844,0.75065,0.35087,1.97191,1.24564,2.12705,0.000161429,0.000161429,0.000161429
67,4459.86,1.36184,0.69264,1.58457,0.84542,0.67014,0.75082,0.3534,1.9835,1.21897,2.147,0.000133143,0.000133143,0.000133143
68,4522.3,1.33905,0.67261,1.56404,0.86555,0.65278,0.74264,0.35545,1.98823,1.20517,2.13285,0.000104857,0.000104857,0.000104857
69,4587.47,1.32457,0.67062,1.55289,0.83046,0.68031,0.74474,0.35348,1.98475,1.20867,2.14308,7.65714e-05,7.65714e-05,7.65714e-05
70,4648.75,1.31185,0.65341,1.54488,0.84836,0.66045,0.73859,0.34815,1.98318,1.22553,2.16108,4.82857e-05,4.82857e-05,4.82857e-05
